City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Lulea,SE,65.58,22.15,48.27,100,90,5.75,overcast clouds
277,Orasac,BA,44.63,16.07,40.6,99,100,7.38,overcast clouds
278,Lazaro Cardenas,MX,17.96,-102.20,85.42,66,98,6.08,overcast clouds
279,Asau,RO,46.43,26.40,44.76,70,12,2.75,light rain
280,Broken Hill,AU,-31.95,141.43,46.11,71,79,12.66,broken clouds
281,Vila Do Maio,CV,15.13,-23.22,86.79,77,0,14.9,clear sky
282,Palana,RU,59.12,159.97,28.63,86,80,7.65,broken clouds
283,Acapulco,MX,16.86,-99.89,87.62,66,75,8.05,broken clouds
284,El Alto,PE,-4.27,-81.21,73.06,75,40,15.26,scattered clouds
285,Revda,RU,56.80,59.93,27.41,82,93,2.42,overcast clouds
286,Antofagasta,CL,-23.65,-70.40,67.21,61,10,10.22,clear sky
287,Loikaw,MM,19.67,97.21,68.22,96,100,2.71,overcast clouds
288,Carauari,BR,-4.88,-66.90,91.63,53,100,1.72,overcast clouds
289,Pareora,NZ,-44.49,171.21,49.17,97,100,4.74,overcast clouds
290,Santa Maria,BR,-29.68,-53.81,74.5,69,40,13.8,scattered clouds
291,Pithora,IN,21.27,82.52,72.1,68,6,2.57,clear sky
292,Muisne,EC,0.60,-80.03,80.71,80,100,9.73,overcast clouds
293,Acajutla,SV,13.59,-89.83,95.34,68,100,8.08,overcast clouds
294,Kokoda,PG,-8.88,147.74,74.01,95,100,0.76,overcast clouds
295,Jalu,LY,29.03,21.55,81.0,25,0,8.86,clear sky
296,Bambous Virieux,MU,-20.34,57.76,72.21,94,75,8.05,light rain
297,Qui Nhon,VN,13.77,109.23,78.06,88,100,4.25,overcast clouds
298,San Patricio,US,28.02,-97.52,93.29,56,31,21.07,scattered clouds
299,Ostrovnoy,RU,68.05,39.51,42.69,94,100,3.69,overcast clouds
300,Kinshasa,CD,-4.32,15.32,80.24,69,100,4.74,overcast clouds
301,Tapes,BR,-30.67,-51.40,66.49,78,100,18.45,overcast clouds
302,Wattegama,LK,6.80,81.48,77.92,81,100,6.15,overcast clouds
303,Honningsvag,NO,70.98,25.97,42.55,93,0,10.36,clear sky
304,La Palma,US,33.85,-118.05,85.48,54,1,1.01,clear sky
305,Cabo San Lucas,MX,22.89,-109.91,94.6,55,20,4.0,few clouds
306,Little Current,CA,45.98,-81.92,67.41,82,100,15.01,overcast clouds
307,Kholmogory,RU,64.22,41.66,50.11,92,100,9.93,moderate rain
308,Yulara,AU,-25.24,130.99,55.24,71,90,10.36,overcast clouds
309,Rocky Mount,US,35.94,-77.79,79.21,66,93,16.24,overcast clouds
