City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Tome,CL,2021-10-01 22:41:22,-36.6167,-72.95,54.21,88,98,11.97
173,Nikolskoye,RU,2021-10-01 22:41:23,59.7035,30.7861,50.88,92,88,4.97
174,Fort Nelson,CA,2021-10-01 22:41:23,58.8053,-122.7002,53.19,62,75,3.44
175,Kloulklubed,PW,2021-10-01 22:41:24,7.0419,134.2556,80.1,84,100,14.92
176,Kirakira,SB,2021-10-01 22:41:24,-10.4544,161.9205,84.45,68,99,4.41
177,Faanui,PF,2021-10-01 22:41:25,-16.4833,-151.75,79.54,72,47,18.81
178,Mantua,IT,2021-10-01 22:41:25,45.1667,10.7833,62.74,81,23,1.99
179,Usinsk,RU,2021-10-01 22:41:26,65.9939,57.5281,34.92,81,100,8.93
180,Severo-Kurilsk,RU,2021-10-01 22:41:26,50.6789,156.125,51.03,96,100,10.74
181,Balabac,PH,2021-10-01 22:41:26,7.9868,117.0645,81.5,80,100,3.38
182,Codrington,AU,2021-10-01 22:41:27,-38.2667,141.9667,56.73,87,96,7.05
183,Tilichiki,RU,2021-10-01 22:41:27,60.4667,166.1,33.24,95,100,5.75
184,Mahon,ES,2021-10-01 22:41:28,39.8885,4.2658,68.56,88,40,4.61
185,General Roca,AR,2021-10-01 22:41:28,-39.0333,-67.5833,70.2,19,99,7.87
186,Luderitz,NA,2021-10-01 22:41:28,-26.6481,15.1594,57.27,85,16,16.67
187,Bethel,US,2021-10-01 22:41:29,41.3712,-73.414,63.48,73,20,3.44
188,Porto Da Folha,BR,2021-10-01 22:41:29,-9.9172,-37.2783,75.54,84,17,13.67
189,Salalah,OM,2021-10-01 22:41:30,17.0151,54.0924,80.69,89,40,5.75
190,Churapcha,RU,2021-10-01 22:41:30,62.0025,132.4325,30.04,93,100,3.76
191,Tautira,PF,2021-10-01 22:41:30,-17.7333,-149.15,82.42,77,28,19.82
192,Esso,RU,2021-10-01 22:41:31,55.9333,158.7,41.11,98,100,3.71
193,Moerai,PF,2021-10-01 22:41:31,-22.4333,-151.3333,76.03,78,7,13.96
194,Touros,BR,2021-10-01 22:41:32,-5.1989,-35.4608,79.7,83,9,12.93
195,Geraldton,AU,2021-10-01 22:41:32,-28.7667,114.6,59.41,58,75,8.05
196,Killybegs,IE,2021-10-01 22:41:33,54.6333,-8.45,45.45,79,99,17.54
197,Kermanshah,IR,2021-10-01 22:41:33,34.3142,47.065,56.3,19,0,0.0
198,Andenes,NO,2021-10-01 22:41:34,69.3143,16.1194,49.98,66,75,19.57
199,Khilok,RU,2021-10-01 22:41:34,51.3674,110.4676,27.28,85,95,3.6
200,Port-Gentil,GA,2021-10-01 22:41:35,-0.7193,8.7815,75.16,94,90,8.05
201,Galle,LK,2021-10-01 22:41:35,6.0367,80.217,76.71,89,100,8.52
202,Sovetskiy,RU,2021-10-01 22:41:35,61.3614,63.5842,31.53,74,73,5.37
203,Gunjur,GM,2021-10-01 22:41:36,13.2019,-16.7339,78.87,94,40,0.0
204,Srivardhan,IN,2021-10-01 22:41:36,18.0333,73.0167,77.92,91,100,3.91
205,Vilyuysk,RU,2021-10-01 22:41:37,63.7553,121.6247,26.94,81,56,4.94
206,Huarmey,PE,2021-10-01 22:41:37,-10.0681,-78.1522,65.62,80,31,10.69
207,Toamasina,MG,2021-10-01 22:41:37,-18.1667,49.3833,68.0,94,40,0.0
208,Esperance,AU,2021-10-01 22:41:38,-33.8667,121.9,53.44,80,84,22.15
209,Torbay,CA,2021-10-01 22:41:38,47.6666,-52.7314,57.88,99,90,4.61
210,Nemuro,JP,2021-10-01 22:41:39,43.3236,145.575,55.22,92,100,22.7
211,Bograd,RU,2021-10-01 22:41:39,54.2344,90.8328,37.15,72,99,4.92
212,Karratha,AU,2021-10-01 22:38:10,-20.7377,116.8463,68.32,60,80,21.34
213,Piedras Negras,MX,2021-10-01 22:41:40,28.7,-100.5167,88.38,58,75,9.22
214,Pandaan,ID,2021-10-01 22:41:40,-7.6527,112.6875,72.9,72,94,3.98
215,Pacific Grove,US,2021-10-01 22:41:41,36.6177,-121.9166,94.42,69,1,8.01
216,Fortuna,US,2021-10-01 22:41:41,40.5982,-124.1573,81.19,67,20,1.99
217,Banda Aceh,ID,2021-10-01 22:41:42,5.5577,95.3222,76.55,73,94,7.67
218,Kenai,US,2021-10-01 22:41:42,60.5544,-151.2583,46.49,50,40,16.11
219,Thompson,CA,2021-10-01 22:40:03,55.7435,-97.8558,66.36,42,75,5.75
220,Saint-Augustin,CA,2021-10-01 22:41:42,51.226,-58.6502,44.13,87,100,21.72
221,Colac,AU,2021-10-01 22:41:43,-38.3333,143.5833,57.0,95,96,6.29
222,Porto-Vecchio,FR,2021-10-01 22:41:43,41.591,9.2795,65.73,94,0,5.75
223,Tura,IN,2021-10-01 22:40:13,25.5198,90.2201,73.9,90,17,1.21
224,Temyasovo,RU,2021-10-01 22:41:44,52.9933,58.1014,39.56,97,100,6.49
225,Qasigiannguit,GL,2021-10-01 22:41:44,68.8193,-51.1922,30.45,77,96,3.98
226,Yar-Sale,RU,2021-10-01 22:41:44,66.8333,70.8333,31.26,88,100,14.88
227,Sao Felix Do Xingu,BR,2021-10-01 22:39:07,-6.6447,-51.995,78.48,71,95,0.74
228,Pemex,MX,2021-10-01 22:41:45,18.4395,-96.3461,85.69,79,98,3.06
229,Castro,BR,2021-10-01 22:41:45,-24.7911,-50.0119,56.34,97,100,3.11
230,Zanesville,US,2021-10-01 22:41:46,39.9404,-82.0132,75.76,47,1,3.44
231,Jardim,BR,2021-10-01 22:41:46,-21.4803,-56.1381,92.25,31,75,5.77
232,Turinsk,RU,2021-10-01 22:41:47,58.0458,63.696,29.98,87,77,5.3
233,Klaksvik,FO,2021-10-01 22:41:47,62.2266,-6.589,49.12,97,98,14.58
234,Richards Bay,ZA,2021-10-01 22:41:47,-28.783,32.0377,68.14,91,92,8.03
235,Swift Current,CA,2021-10-01 22:41:48,50.2834,-107.8014,70.61,30,20,9.22
236,Letterkenny,IE,2021-10-01 22:41:48,54.95,-7.7333,47.05,91,84,10.29
237,Buraydah,SA,2021-10-01 22:41:49,26.326,43.975,81.05,16,6,6.71
238,Bengkulu,ID,2021-10-01 22:41:49,-3.8004,102.2655,74.93,88,98,3.85
239,Kraskino,RU,2021-10-01 22:41:50,42.7114,130.7794,55.11,64,66,3.42
240,Kurilsk,RU,2021-10-01 22:41:50,45.2333,147.8833,55.2,95,100,5.59
241,Pisco,PE,2021-10-01 22:41:50,-13.7,-76.2167,66.25,72,0,13.8
242,Boyuibe,BO,2021-10-01 22:41:51,-20.4167,-63.2833,82.31,58,81,6.33
243,Mindelo,CV,2021-10-01 22:41:51,16.8901,-24.9804,78.35,69,40,14.97
244,Omboue,GA,2021-10-01 22:41:52,-1.5746,9.2618,75.85,87,100,4.72
245,Werda,BW,2021-10-01 22:41:52,-25.2667,23.2833,62.35,28,92,7.63
246,Dovolnoye,RU,2021-10-01 22:41:53,54.4958,79.6671,34.66,99,100,9.19
247,Show Low,US,2021-10-01 22:40:21,34.2542,-110.0298,63.28,32,20,11.5
248,Kudahuvadhoo,MV,2021-10-01 22:41:53,2.6708,72.8944,82.33,72,85,11.68
249,Dire Dawa,ET,2021-10-01 22:41:54,9.5931,41.8661,72.48,66,82,7.11
250,Bilma,NE,2021-10-01 22:41:54,18.6853,12.9164,83.8,15,0,9.19
251,Bathsheba,BB,2021-10-01 22:41:54,13.2167,-59.5167,83.01,78,20,17.27
252,Am Timan,TD,2021-10-01 22:41:55,11.0297,20.2827,76.32,80,64,5.17
253,Ponta Do Sol,PT,2021-10-01 22:41:55,32.6667,-17.1,73.71,81,2,6.02
254,Arman,RU,2021-10-01 22:41:55,59.7,150.1667,38.86,95,100,1.61
255,Coquimbo,CL,2021-10-01 22:41:56,-29.9533,-71.3436,58.73,77,0,12.66
256,Kruisfontein,ZA,2021-10-01 22:41:56,-34.0033,24.7314,57.88,96,82,9.98
257,Saskylakh,RU,2021-10-01 22:41:57,71.9167,114.0833,17.47,98,92,3.47
258,Nome,US,2021-10-01 22:39:39,64.5011,-165.4064,35.67,49,40,17.27
259,Ludza,LV,2021-10-01 22:41:57,56.55,27.7167,41.23,92,75,5.64
260,North Bend,US,2021-10-01 22:36:58,43.4065,-124.2243,69.24,83,1,23.02
261,Cafarnaum,BR,2021-10-01 22:41:58,-11.6936,-41.4683,70.75,64,2,5.06
262,Nouadhibou,MR,2021-10-01 22:41:58,20.931,-17.0347,66.18,100,90,12.66
263,Nkhotakota,MW,2021-10-01 22:41:59,-12.9274,34.2961,74.66,68,2,4.61
264,Asau,RO,2021-10-01 22:41:59,46.4333,26.4,43.75,61,59,2.06
265,High Level,CA,2021-10-01 22:42:00,58.5169,-117.136,60.91,36,40,6.91
266,Zhigansk,RU,2021-10-01 22:42:00,66.7697,123.3711,27.66,82,18,12.88
267,Bageshwar,IN,2021-10-01 22:42:00,29.85,79.7667,64.2,92,14,2.8
268,Qiyang,CN,2021-10-01 22:42:01,26.5911,111.8474,79.39,65,1,1.63
269,Tall Kayf,TR,2021-10-01 22:42:01,37.0833,41.0667,74.48,34,0,5.1
270,Sistranda,NO,2021-10-01 22:42:02,63.7256,8.834,58.89,76,98,8.41
271,Krasnyy Chikoy,RU,2021-10-01 22:42:02,50.3643,108.7512,33.3,80,100,3.65
272,Polunochnoye,RU,2021-10-01 22:42:03,60.8697,60.4153,28.54,93,75,2.59
273,Khandyga,RU,2021-10-01 22:42:03,62.6667,135.6,32.0,95,100,3.96
274,Sao Miguel Do Araguaia,BR,2021-10-01 22:37:13,-13.275,-50.1628,89.11,35,83,1.74
275,San Quintin,MX,2021-10-01 22:42:04,30.4833,-115.95,77.25,51,0,11.07
276,Merauke,ID,2021-10-01 22:42:04,-8.4667,140.3333,80.62,77,86,7.56
277,Hay River,CA,2021-10-01 22:42:05,60.8156,-115.7999,58.98,47,20,9.22
278,Floresta,BR,2021-10-01 22:38:02,-8.6011,-38.5686,85.15,42,64,24.76
279,Adana,TR,2021-10-01 22:42:05,36.985,35.2881,73.8,68,0,3.44
280,Isangel,VU,2021-10-01 22:42:06,-19.55,169.2667,77.11,88,90,11.5
281,Belaya Gora,RU,2021-10-01 22:42:06,68.5333,146.4167,23.72,89,100,5.68
282,Margate,GB,2021-10-01 22:41:09,51.3813,1.3862,51.69,88,9,8.84
283,Dolores,AR,2021-10-01 22:42:07,-36.3132,-57.6792,53.83,68,0,6.71
284,Divnogorsk,RU,2021-10-01 22:42:07,55.9594,92.3619,36.09,98,100,4.99
285,Flinders,AU,2021-10-01 22:42:08,-34.5833,150.8552,65.8,77,6,4.0
286,Lagoa,PT,2021-10-01 22:42:08,39.05,-27.9833,70.52,91,69,13.58
287,Ust-Ishim,RU,2021-10-01 22:42:09,57.6935,71.1665,33.66,87,100,8.05
288,Acapulco,MX,2021-10-01 22:38:52,16.8634,-99.8901,87.62,70,40,4.61
289,Kavieng,PG,2021-10-01 22:42:09,-2.5744,150.7967,83.73,66,100,3.62
290,Bonavista,CA,2021-10-01 22:42:10,48.6499,-53.1147,56.12,97,100,12.12
291,Yerbogachen,RU,2021-10-01 22:42:10,61.2767,108.0108,34.63,69,100,2.75
292,Poronaysk,RU,2021-10-01 22:42:10,49.2167,143.1167,48.52,78,81,4.29
293,Miles City,US,2021-10-01 22:42:11,46.4083,-105.8406,79.52,15,1,5.75
